id,ltl,sentence
740,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Start by going to room A, then proceed to room B"
741,finally(InRoomA imply finally(InRoomB)),"Travel to room A first, then go to room B"
742,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Travel to room A first, then go to room B"
743,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Travel to room A first, then go to room B"
744,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Travel to room A first, then go to room B"
745,finally((not(InRoomB) and InRoomA) imply InRoomB),"Travel to room A first, then go to room B"
746,finally(globally(InRoomA) imply finally(InRoomB)),"Travel to room A first, then go to room B"
747,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Travel to room A first, then go to room B"
748,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Travel to room A first, then go to room B"
749,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Travel to room A first, then go to room B"
750,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Travel to room A first, then go to room B"
751,finally(InRoomA imply finally(InRoomB)),Journey to room A then to room B
752,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),Journey to room A then to room B
753,finally(not(InRoomA) or (InRoomA imply InRoomB)),Journey to room A then to room B
754,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),Journey to room A then to room B
755,finally((not(InRoomB) and InRoomA) imply InRoomB),Journey to room A then to room B
756,finally(globally(InRoomA) imply finally(InRoomB)),Journey to room A then to room B
757,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),Journey to room A then to room B
758,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),Journey to room A then to room B
759,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),Journey to room A then to room B
760,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),Journey to room A then to room B
761,finally(InRoomA imply finally(InRoomB)),"Walk to room A first, and then move on to room B"
762,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Walk to room A first, and then move on to room B"
763,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Walk to room A first, and then move on to room B"
764,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Walk to room A first, and then move on to room B"
765,finally((not(InRoomB) and InRoomA) imply InRoomB),"Walk to room A first, and then move on to room B"
766,finally(globally(InRoomA) imply finally(InRoomB)),"Walk to room A first, and then move on to room B"
767,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Walk to room A first, and then move on to room B"
768,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Walk to room A first, and then move on to room B"
769,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Walk to room A first, and then move on to room B"
770,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Walk to room A first, and then move on to room B"
771,finally(InRoomA imply finally(InRoomB)),"Visit room A first, then make a trip to room B"
772,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Visit room A first, then make a trip to room B"
773,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Visit room A first, then make a trip to room B"
774,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Visit room A first, then make a trip to room B"
775,finally((not(InRoomB) and InRoomA) imply InRoomB),"Visit room A first, then make a trip to room B"
776,finally(globally(InRoomA) imply finally(InRoomB)),"Visit room A first, then make a trip to room B"
777,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Visit room A first, then make a trip to room B"
778,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Visit room A first, then make a trip to room B"
779,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Visit room A first, then make a trip to room B"
780,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Visit room A first, then make a trip to room B"
781,finally(InRoomA imply finally(InRoomB)),"Move to room A first, and then navigate to room B"
782,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Move to room A first, and then navigate to room B"
783,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Move to room A first, and then navigate to room B"
784,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Move to room A first, and then navigate to room B"
785,finally((not(InRoomB) and InRoomA) imply InRoomB),"Move to room A first, and then navigate to room B"
786,finally(globally(InRoomA) imply finally(InRoomB)),"Move to room A first, and then navigate to room B"
787,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Move to room A first, and then navigate to room B"
788,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Move to room A first, and then navigate to room B"
789,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Move to room A first, and then navigate to room B"
790,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Move to room A first, and then navigate to room B"
791,finally(InRoomA imply finally(InRoomB)),"Journey towards room A first, and then to room B"
792,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Journey towards room A first, and then to room B"
793,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Journey towards room A first, and then to room B"
794,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Journey towards room A first, and then to room B"
795,finally((not(InRoomB) and InRoomA) imply InRoomB),"Journey towards room A first, and then to room B"
796,finally(globally(InRoomA) imply finally(InRoomB)),"Journey towards room A first, and then to room B"
797,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Journey towards room A first, and then to room B"
798,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Journey towards room A first, and then to room B"
799,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Journey towards room A first, and then to room B"
800,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Journey towards room A first, and then to room B"
801,finally(InRoomA imply finally(InRoomB)),"Make your way to room A, and then shift to room B"
802,finally((InRoomA and not(InRoomB)) imply finally(InRoomB)),"Make your way to room A, and then shift to room B"
803,finally(not(InRoomA) or (InRoomA imply InRoomB)),"Make your way to room A, and then shift to room B"
804,finally((not(InRoomB)) imply (InRoomA imply InRoomB)),"Make your way to room A, and then shift to room B"
805,finally((not(InRoomB) and InRoomA) imply InRoomB),"Make your way to room A, and then shift to room B"
806,finally(globally(InRoomA) imply finally(InRoomB)),"Make your way to room A, and then shift to room B"
807,finally((globally(InRoomA) and not(InRoomB)) imply finally(InRoomB)),"Make your way to room A, and then shift to room B"
808,finally(not(InRoomB) and (globally(InRoomA) imply InRoomB)),"Make your way to room A, and then shift to room B"
809,finally((globally(InRoomA) imply not(InRoomB)) or InRoomB),"Make your way to room A, and then shift to room B"
810,finally((not(InRoomB)) imply (globally(InRoomA) imply finally(InRoomB))),"Make your way to room A, and then shift to room B"
811,finally((InRoomB and globally(InRoomC))),"Move to room B first and afterwards, proceed to room C"
812,finally(InRoomB) imply finally(InRoomC),"Move to room B first and afterwards, proceed to room C"
813,finally((InRoomB and finally(InRoomC))),"Move to room B first and afterwards, proceed to room C"
814,finally((InRoomB) imply finally((InRoomC))),"Move to room B first and afterwards, proceed to room C"
815,finally((InRoomB and globally(InRoomC))),"First, navigate to room B, then head to room C"
816,finally(InRoomB) imply finally(InRoomC),"First, navigate to room B, then head to room C"
817,finally((InRoomB and finally(InRoomC))),"First, navigate to room B, then head to room C"
818,finally((InRoomB) imply finally((InRoomC))),"First, navigate to room B, then head to room C"
819,finally((InRoomB and globally(InRoomC))),"Start by going to room B, then, head to room C"
820,finally(InRoomB) imply finally(InRoomC),"Start by going to room B, then, head to room C"
821,finally((InRoomB and finally(InRoomC))),"Start by going to room B, then, head to room C"
822,finally((InRoomB) imply finally((InRoomC))),"Start by going to room B, then, head to room C"
823,finally((InRoomB and globally(InRoomC))),Make your way to room B and subsequently make a move to room C
824,finally(InRoomB) imply finally(InRoomC),Make your way to room B and subsequently make a move to room C
825,finally((InRoomB and finally(InRoomC))),Make your way to room B and subsequently make a move to room C
826,finally((InRoomB) imply finally((InRoomC))),Make your way to room B and subsequently make a move to room C
827,finally((InRoomB and globally(InRoomC))),Travel to room B then transition to room C
828,finally(InRoomB) imply finally(InRoomC),Travel to room B then transition to room C
829,finally((InRoomB and finally(InRoomC))),Travel to room B then transition to room C
830,finally((InRoomB) imply finally((InRoomC))),Travel to room B then transition to room C
831,finally((InRoomB and globally(InRoomC))),"Reach room B first, then journey to room C"
832,finally(InRoomB) imply finally(InRoomC),"Reach room B first, then journey to room C"
833,finally((InRoomB and finally(InRoomC))),"Reach room B first, then journey to room C"
834,finally((InRoomB) imply finally((InRoomC))),"Reach room B first, then journey to room C"
835,finally((InRoomB and globally(InRoomC))),"Proceed to room B, then advance to room C"
836,finally(InRoomB) imply finally(InRoomC),"Proceed to room B, then advance to room C"
837,finally((InRoomB and finally(InRoomC))),"Proceed to room B, then advance to room C"
838,finally((InRoomB) imply finally((InRoomC))),"Proceed to room B, then advance to room C"
839,finally((InRoomB and globally(InRoomC))),Your first destination is room B and next is room C
840,finally(InRoomB) imply finally(InRoomC),Your first destination is room B and next is room C
841,finally((InRoomB and finally(InRoomC))),Your first destination is room B and next is room C
842,finally((InRoomB) imply finally((InRoomC))),Your first destination is room B and next is room C
843,finally((InRoomB and globally(InRoomC))),"First access room B, then proceed to room C"
844,finally(InRoomB) imply finally(InRoomC),"First access room B, then proceed to room C"
845,finally((InRoomB and finally(InRoomC))),"First access room B, then proceed to room C"
846,finally((InRoomB) imply finally((InRoomC))),"First access room B, then proceed to room C"
847,finally((InRoomB and globally(InRoomC))),Head for room B and next you move to room C
848,finally(InRoomB) imply finally(InRoomC),Head for room B and next you move to room C
849,finally((InRoomB and finally(InRoomC))),Head for room B and next you move to room C
850,finally((InRoomB) imply finally((InRoomC))),Head for room B and next you move to room C
851,finally(InRoomC imply finally(InRoomA)),Proceed to room C first and then to room A.
852,finally(globally(InRoomC imply InRoomA)),Proceed to room C first and then to room A.
853,finally((InRoomC and finally(InRoomA))),Proceed to room C first and then to room A.
854,finally((InRoomC) imply globally(InRoomA)),Proceed to room C first and then to room A.
855,finally((InRoomC and globally(InRoomA))),Proceed to room C first and then to room A.
856,finally((globally(InRoomC) imply finally(InRoomA))),Proceed to room C first and then to room A.
857,finally(InRoomC imply finally(InRoomA)),"Move to room C first, and afterwards to room A."
858,finally(globally(InRoomC imply InRoomA)),"Move to room C first, and afterwards to room A."
859,finally((InRoomC and finally(InRoomA))),"Move to room C first, and afterwards to room A."
860,finally((InRoomC) imply globally(InRoomA)),"Move to room C first, and afterwards to room A."
861,finally((InRoomC and globally(InRoomA))),"Move to room C first, and afterwards to room A."
862,finally((globally(InRoomC) imply finally(InRoomA))),"Move to room C first, and afterwards to room A."
863,finally(InRoomC imply finally(InRoomA)),"Head first to room C, and then room A."
864,finally(globally(InRoomC imply InRoomA)),"Head first to room C, and then room A."
865,finally((InRoomC and finally(InRoomA))),"Head first to room C, and then room A."
866,finally((InRoomC) imply globally(InRoomA)),"Head first to room C, and then room A."
867,finally((InRoomC and globally(InRoomA))),"Head first to room C, and then room A."
868,finally((globally(InRoomC) imply finally(InRoomA))),"Head first to room C, and then room A."
869,finally(InRoomC imply finally(InRoomA)),Navigate to room C before moving on to room A.
870,finally(globally(InRoomC imply InRoomA)),Navigate to room C before moving on to room A.
871,finally((InRoomC and finally(InRoomA))),Navigate to room C before moving on to room A.
872,finally((InRoomC) imply globally(InRoomA)),Navigate to room C before moving on to room A.
873,finally((InRoomC and globally(InRoomA))),Navigate to room C before moving on to room A.
874,finally((globally(InRoomC) imply finally(InRoomA))),Navigate to room C before moving on to room A.
875,finally(InRoomC imply finally(InRoomA)),"Start by going to room C, following that, go to room A."
876,finally(globally(InRoomC imply InRoomA)),"Start by going to room C, following that, go to room A."
877,finally((InRoomC and finally(InRoomA))),"Start by going to room C, following that, go to room A."
878,finally((InRoomC) imply globally(InRoomA)),"Start by going to room C, following that, go to room A."
879,finally((InRoomC and globally(InRoomA))),"Start by going to room C, following that, go to room A."
880,finally((globally(InRoomC) imply finally(InRoomA))),"Start by going to room C, following that, go to room A."
881,finally(InRoomC imply finally(InRoomA)),"Firstly, reach room C, then proceed to room A."
882,finally(globally(InRoomC imply InRoomA)),"Firstly, reach room C, then proceed to room A."
883,finally((InRoomC and finally(InRoomA))),"Firstly, reach room C, then proceed to room A."
884,finally((InRoomC) imply globally(InRoomA)),"Firstly, reach room C, then proceed to room A."
885,finally((InRoomC and globally(InRoomA))),"Firstly, reach room C, then proceed to room A."
886,finally((globally(InRoomC) imply finally(InRoomA))),"Firstly, reach room C, then proceed to room A."
887,finally(InRoomC imply finally(InRoomA)),"Make a move to room C, and then to room A."
888,finally(globally(InRoomC imply InRoomA)),"Make a move to room C, and then to room A."
889,finally((InRoomC and finally(InRoomA))),"Make a move to room C, and then to room A."
890,finally((InRoomC) imply globally(InRoomA)),"Make a move to room C, and then to room A."
891,finally((InRoomC and globally(InRoomA))),"Make a move to room C, and then to room A."
892,finally((globally(InRoomC) imply finally(InRoomA))),"Make a move to room C, and then to room A."
893,finally(InRoomC imply finally(InRoomA)),Take a route towards room C before going to room A.
894,finally(globally(InRoomC imply InRoomA)),Take a route towards room C before going to room A.
895,finally((InRoomC and finally(InRoomA))),Take a route towards room C before going to room A.
896,finally((InRoomC) imply globally(InRoomA)),Take a route towards room C before going to room A.
897,finally((InRoomC and globally(InRoomA))),Take a route towards room C before going to room A.
898,finally((globally(InRoomC) imply finally(InRoomA))),Take a route towards room C before going to room A.
899,finally(InRoomC imply finally(InRoomA)),"First make your way to room C, and after that to room A."
900,finally(globally(InRoomC imply InRoomA)),"First make your way to room C, and after that to room A."
901,finally((InRoomC and finally(InRoomA))),"First make your way to room C, and after that to room A."
902,finally((InRoomC) imply globally(InRoomA)),"First make your way to room C, and after that to room A."
903,finally((InRoomC and globally(InRoomA))),"First make your way to room C, and after that to room A."
904,finally((globally(InRoomC) imply finally(InRoomA))),"First make your way to room C, and after that to room A."
905,finally(InRoomC imply finally(InRoomA)),"First go to room C, then journey to room A."
906,finally(globally(InRoomC imply InRoomA)),"First go to room C, then journey to room A."
907,finally((InRoomC and finally(InRoomA))),"First go to room C, then journey to room A."
908,finally((InRoomC) imply globally(InRoomA)),"First go to room C, then journey to room A."
909,finally((InRoomC and globally(InRoomA))),"First go to room C, then journey to room A."
910,finally((globally(InRoomC) imply finally(InRoomA))),"First go to room C, then journey to room A."
911,finally(InRoomA imply (InRoomB imply InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
912,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
913,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
914,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
915,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
916,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
917,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"First head to room A, then proceed to room B and lastly move to room C"
918,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"First head to room A, then proceed to room B and lastly move to room C"
919,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
920,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"First head to room A, then proceed to room B and lastly move to room C"
921,finally(InRoomA imply (InRoomB imply InRoomC)),"Navigate to room A, from there move to room B and end at room C"
922,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
923,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
924,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
925,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
926,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Navigate to room A, from there move to room B and end at room C"
927,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Navigate to room A, from there move to room B and end at room C"
928,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Navigate to room A, from there move to room B and end at room C"
929,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
930,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Navigate to room A, from there move to room B and end at room C"
931,finally(InRoomA imply (InRoomB imply InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
932,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
933,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
934,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
935,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
936,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
937,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Start by moving to room A, then transition to room B and finally enter room C"
938,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Start by moving to room A, then transition to room B and finally enter room C"
939,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
940,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Start by moving to room A, then transition to room B and finally enter room C"
941,finally(InRoomA imply (InRoomB imply InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
942,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
943,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
944,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
945,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
946,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
947,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
948,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
949,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
950,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Firstly, make your way to room A, afterwards go to room B and subsequently proceed to room C"
951,finally(InRoomA imply (InRoomB imply InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
952,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
953,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
954,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
955,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
956,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
957,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
958,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
959,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
960,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Initially, find your way to room A, then travel to room B and ultimately end up in room C"
961,finally(InRoomA imply (InRoomB imply InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
962,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
963,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
964,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
965,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
966,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
967,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"First go to room A, next make a move to room B and then finish at room C"
968,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"First go to room A, next make a move to room B and then finish at room C"
969,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
970,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"First go to room A, next make a move to room B and then finish at room C"
971,finally(InRoomA imply (InRoomB imply InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
972,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
973,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
974,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
975,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
976,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
977,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Make a start at room A, follow it by going to room B and conclude by going to room C"
978,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Make a start at room A, follow it by going to room B and conclude by going to room C"
979,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
980,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Make a start at room A, follow it by going to room B and conclude by going to room C"
981,finally(InRoomA imply (InRoomB imply InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
982,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
983,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
984,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
985,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
986,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
987,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Begin by getting to room A, then relocate to room B and end by entering room C"
988,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Begin by getting to room A, then relocate to room B and end by entering room C"
989,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
990,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Begin by getting to room A, then relocate to room B and end by entering room C"
991,finally(InRoomA imply (InRoomB imply InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
992,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
993,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
994,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
995,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
996,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
997,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
998,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
999,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
1000,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Kick off by heading towards room A, follow up by proceeding to room B and wind up by moving to room C"
1001,finally(InRoomA imply (InRoomB imply InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1002,finally((InRoomA and finally(InRoomB)) imply finally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1003,finally((InRoomA and globally(InRoomB)) imply finally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1004,finally((InRoomA and finally(InRoomB)) imply globally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1005,finally((InRoomA and globally(InRoomB)) imply globally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1006,finally(globally(InRoomA) imply (InRoomB imply InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1007,finally(globally(InRoomA) imply ((InRoomB and finally(InRoomC)))),"Destination one is room A, followed by room B and the final destination is room C"
1008,finally(globally(InRoomA) imply ((InRoomB and globally(InRoomC)))),"Destination one is room A, followed by room B and the final destination is room C"
1009,finally((globally(InRoomA) and finally(InRoomB)) imply finally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1010,finally((globally(InRoomA) and finally(InRoomB)) imply globally(InRoomC)),"Destination one is room A, followed by room B and the final destination is room C"
1011,finally(InRoomB imply (InRoomC imply InRoomA)),"Head over to room B, proceed to room C after that, then make your way to room A"
1012,finally(((InRoomB) and finally(InRoomC)) imply finally(InRoomA)),"Head over to room B, proceed to room C after that, then make your way to room A"
1013,finally((InRoomB imply finally(InRoomC)) imply finally(InRoomA)),"Head over to room B, proceed to room C after that, then make your way to room A"
1014,finally(InRoomB imply ((InRoomC) and finally(InRoomA))),"Head over to room B, proceed to room C after that, then make your way to room A"
1015,finally((InRoomB imply finally(InRoomC)) imply InRoomA),"Head over to room B, proceed to room C after that, then make your way to room A"
1016,finally(InRoomB imply (InRoomC imply InRoomA)),"Move to room B first, next move to room C and lastly move to room A"
1017,finally(((InRoomB) and finally(InRoomC)) imply finally(InRoomA)),"Move to room B first, next move to room C and lastly move to room A"
1018,finally((InRoomB imply finally(InRoomC)) imply finally(InRoomA)),"Move to room B first, next move to room C and lastly move to room A"
1019,finally(InRoomB imply ((InRoomC) and finally(InRoomA))),"Move to room B first, next move to room C and lastly move to room A"
1020,finally((InRoomB imply finally(InRoomC)) imply InRoomA),"Move to room B first, next move to room C and lastly move to room A"
1021,finally(InRoomB imply (InRoomC imply InRoomA)),"Travel to room B first, then travel to room C and end at room A"
1022,finally(((InRoomB) and finally(InRoomC)) imply finally(InRoomA)),"Travel to room B first, then travel to room C and end at room A"
